name,latitude,longitude,cuisine,phone,website,opening_hours,street,house_number,city,amenity,brand,operator,category
Mezcal's,40.6758313,-73.9807001,mexican,+1-718-783-3276,,Mo-Th 12:00-22:00; Fr-Sa 12:00-24:00; Su 12:00-22:00,5th Avenue,223,,restaurant,,,restaurant
Shaking Crab,40.6757312,-73.9810959,seafood,+1 929 337 6140,https://www.shakingcrab.com,Mo-Th 17:00-23:00; Fr 17:00-24:00; Sa 12:00-24:00; Su 12:00-22:00,5th Avenue,230,,restaurant,,,restaurant
Four Seasons,40.7580948,-73.9720223,new_american,,https://www.fourseasonsrestaurant.com/,,East 52nd Street,99,New York,restaurant,,,restaurant
Marchi's,40.7431603,-73.9775799,italian,+1-212-679-2494,https://www.marchirestaurant.com/,Mo-Sa 17:00-22:00,,,,restaurant,,,restaurant
Pando Park,40.7449757,-73.9831065,american,,https://www.pandopubs.com/location/pando-park/,"Mo-Th 11:00-24:00, Fr-Sa 11:00-02:00, Su 11:00-24:00",,,,restaurant,,,restaurant
Smith & Wollensky,40.7552548,-73.9709515,steak_house,,https://www.smithandwollenskynyc.com/,,3rd Avenue,797,New York,restaurant,,,restaurant
Tom's Restaurant,40.6744702,-73.9633157,brunch,7186369738,https://tomsbrooklyn.com/,Mo-Fr 08:00-15:00; Sa-Su 08:00-17:00,Washington Avenue,782,,restaurant,,,restaurant
Elite Palace,40.7363704,-73.8954454,international,,,,Garfield Avenue,6902,Queens,restaurant,,,restaurant
Clinton St. Baking Company,40.7211788,-73.9838832,,+1-646-602-6263,https://clintonstreetbaking.com/,"Mo-Fr 8:00-16:00, 17:00-23:00; Sa 9:00-16:00, 17:00-23:00; Su 9:00-17:00",Clinton Street,4,New York,restaurant,,,restaurant
Stromboli Pizza,40.7277727,-73.985401,pizza,+1 212-673-3691,https://www.strombolipizzeria.com/,Mo-Sa 11:00-05:00,Saint Marks Place,83,New York,restaurant,,,restaurant
The Breslin,40.7456818,-73.9881244,gastropub,+1 212-679-1939,,Mo-Su 07:00-02:00,West 29th Street,16,New York,restaurant,,,restaurant
Blue Ribbon Sushi Bar & Grill,40.7675881,-73.9831167,,+1-212-397-0404,https://www.blueribbonsushibarandgrillnyc.com/,"Su-We 07:00-11:00, 12:00-23:00; Th-Sa 07:00-11:00, 12:00-00:00",West 58th Street,308,New York,restaurant,,,restaurant
Sushi Damo,40.7677295,-73.9834926,japanese,+1 212-707-8609,https://sushidamo58.com/,Mo-We 12:00-23:00; Th-Sa 12:00-00:00; Su 12:00-22:30,West 58th Street,330,,restaurant,,,restaurant
USA Brooklyn Delicatessen,40.7653848,-73.980359,"sandwich,  pizza",,,Mo-Su 07:00-20:00,West 57th Street,200,New York,restaurant,,,restaurant
Carnegie Diner & Cafe,40.765737,-73.9801162,"burger, sandwich, coffee_shop, ice_cream, american, pancake",+1-212-664-1001,https://www.carnegiediner.com/location/carnegie-diner-central-park/,Su-Th 07:00-00:00; Fr-Sa 07:00-01:00,West 57th Street,205,New York,restaurant,,,restaurant
Brooklyn Diner,40.7656073,-73.9808744,diner,+1 212-977-1957,https://www.brooklyndiner.com/location/brooklyn-diner-57st/,Mo 07:30-23:00; Tu-Fr 07:30-24:00; Sa 07:00-24:00; Su 07:00-23:00,West 57th Street,212,New York,restaurant,,,restaurant
Farinella,40.7671365,-73.9814703,pizza,+1 646-205-2230,https://www.farinellanyc.com/,10:00-22:00,Broadway,1792,New York,restaurant,,,restaurant
Hoy Wong Restaurant,40.7166141,-73.998003,,,,,Mott street,81,New York,restaurant,,,restaurant
Murry Hill Diner,40.7459042,-73.9803026,diner,,https://www.murrayhilldiner.com,Mo-Su 07:00-22:00,Lexington Avenue,222,,restaurant,,,restaurant
Red Lobster,40.7556031,-73.987571,seafood,,,,,,,restaurant,Red Lobster,,restaurant
Madison & Vine,40.75218,-73.9795023,,,,,,,,restaurant,,,restaurant
Pera,40.7523353,-73.9793753,mediterranean,+1 212-878-6301,https://www.peranyc.com/,Mo-Fr 11:30-22:30; Sa 17:00-22:00; Su 17:00-21:00,Madison Avenue,303,,restaurant,,,restaurant
LA Fonda Del Sol,40.7532708,-73.9773865,,,,,,,,restaurant,,,restaurant
ammos estiatorio,40.7542362,-73.977239,greek,,https://ammosnewyork.com/,,,,,restaurant,,,restaurant
The Capital Grille,40.7538356,-73.9761648,,,,,,,,restaurant,,,restaurant
The Heavenly Burger,40.7517125,-73.9799108,burger,,,,Madison Avenue,291,,restaurant,,,restaurant
Connolly's,40.7561557,-73.9776613,,,,,,,,restaurant,,,restaurant
L'Ecole Restaurant,40.7208901,-74.0003925,french,,,,Broadway,462,New York,restaurant,,,restaurant
Buddakan,40.7421638,-74.0048429,asian,,,,9th Avenue,75,New York,restaurant,,,restaurant
Tony's,40.7563915,-73.9854253,italian,,https://www.tonysnyc.com/,,West 43rd Street,147,New York,restaurant,,,restaurant
Capital Grille at Time-Life,40.7607113,-73.9807687,,,https://www.thecapitalgrille.com/,,West 51st Street,120,New York,restaurant,,,restaurant
Le Parker Meridien Burger,40.7640653,-73.9782577,burger,,,,56th Street,119,,restaurant,,,restaurant
Miti Miti,40.6786532,-73.979114,mexican,,https://www.mitimitinyc.com,"Mo-Th 07:00-24:00, Fr 07:00-02:00, Sa 10:00-02:00, Su 10:00-24:00",,,,restaurant,,,restaurant
Balade,40.7302946,-73.9831042,lebanese,+1-212 529-6868,https://www.baladerestaurants.com,Mo-Fr 17:00-24:00; Sa-Su 11:00-23:00,,,,restaurant,,,restaurant
Russian Tea Room,40.7650339,-73.9793005,russian,,https://russiantearoomnyc.com/,,West 57th Street,150,New York,restaurant,,,restaurant
Market Diner,40.7615758,-73.9973446,burger,,,,11th Avenue,572,New York,restaurant,,,restaurant
Tacolmos,40.6719283,-73.9334624,mexican,+1-929-884-5121,,Tu-Su 11:30-22:00,Schenectady Avenue,205A,,restaurant,,,restaurant
,40.8072019,-73.9535984,,,http://www.patisseriedesambassades.com/,,Frederick Douglass Boulevard,2200,New York,restaurant,,,restaurant
Chocolat Restaurant Lounge,40.8069537,-73.9537487,"american, brunch",+1-212-222-4545,https://chocolatharlem.com/,Mo-Th 11:00-23:00; Fr-Sa 10:00-23:00; Su 10:00-22:00,Frederick Douglass Boulevard,2223,,restaurant,,,restaurant
The Fox,40.8068012,-73.9534135,,+1-212-500-6175,https://thefoxharlem.com/,Mo-Th 12:00-24:00; Fr 12:00-02:00; Sa 10:30-02:00; Su 10:30-24:00,Frederick Douglass Boulevard,2224,New York,restaurant,,,restaurant
Melba's,40.8030944,-73.95657,,+1-212-864-7777,https://www.melbasrestaurant.com,Mo-We 11:00-22:00; Th-Su 11:00-23:00,West 114th Street,300,New York,restaurant,,,restaurant
Cedric,40.8061352,-73.9530327,french,,,,,,,restaurant,,,restaurant
Billie's Black Bar & Lounge,40.8062286,-73.9532312,american,,,,,,,restaurant,,,restaurant
Café Triskell,40.7556257,-73.9280317,french,,http://www.cafetriskell.co/,,,,,restaurant,,,restaurant
Stone Park Cafe,40.6729771,-73.9833228,"american, eclectic",+1-718-369-0082,https://www.stoneparkcafe.com,"Mo-Th 17:00-21:00; Fr 11:00-15:00,17:00-22:00; Sa 10:00-15:00,17:00-22:00; Su 10:00-13:00,17:00-21:00",5th Avenue,324,Brooklyn,restaurant,,,restaurant
Little Ruby’s Cafe,40.7340693,-74.0027914,,,https://www.rubyscafe.com/location/west-village/,Su-Th 09:00-00:00,West 4th Street,225,New York,restaurant,,,restaurant
Saragina's,40.6836158,-73.9353429,italian,,,,Lewis Avenue,,,restaurant,,,restaurant
Beso,40.6829772,-73.9352383,spanish,,https://brooklynbeso.com/,,Lewis Avenue,,,restaurant,,,restaurant
Ma and Pop,40.6836156,-73.935041,soul_food,,,,Lewis Avenue,349,,restaurant,,,restaurant
Uncle Jack's,40.7537214,-73.995808,steak_house,,,,,,,restaurant,,,restaurant
Sergimmo Slumeria,40.7542567,-73.9954338,italian,,https://www.sergimmo.com/9thavenue,,9th Avenue,456,,restaurant,,,restaurant
Zoob Zib Thai Authentic Noodle Bar,40.7543769,-73.9953394,thai,+1-212-971-8530,https://www.zoobzibnyc.com/,Mo-Sa 11:30-21:30; Su 12:00-21:30,9th Avenue,460,,restaurant,,,restaurant
Skylight Diner,40.7533878,-73.9967808,"american, burger, soup, salad, omelette, sandwich, breakfast",+1-212-244-0395,https://skylightdinernyc.com/,24/7,West 34th Street,402,,restaurant,,,restaurant
Hudson Station Bar and Grill,40.753864,-73.9956804,"pub, american",+1 212-244-4406,https://www.hudsonstation.com,Mo-Sa 12:00-04:00; Su 12:00-00:00,9th Avenue,440,,restaurant,,,restaurant
Golden City,40.7532964,-73.9966423,asian,,,,,,,restaurant,,,restaurant
Woodrow Diner,40.5428962,-74.2066515,american,+1 718-984-7373,https://www.woodrowdinersi.com/,"Mo-Th 07:00-22:00; Fr,Sa 07:00-23:00; Su 07:00-21:00",Rossville Avenue,655,Staten Island,restaurant,,,restaurant
Goodfella's Pizzeria,40.5425935,-74.206185,pizza,,http://goodfellasrossville.com/,,,,,restaurant,,,restaurant
Sunset Pizza Restaurant,40.5427501,-74.2077902,pizza,+1 718-356-5918,http://www.sunsetpizza.net/,11:00-21:45,Rossville Avenue,645,Staten Island,restaurant,,,restaurant
Islander Taste Chinese Restaurant,40.5427805,-74.2076903,chinese,,,,,,,restaurant,,,restaurant
Pio Hot Bagels,40.5429054,-74.2067533,"coffee_shop, breakfast, lunch, bagel",,,,,,,restaurant,,,restaurant
Shmoné,40.7335075,-73.9990673,israeli,+1-646-438-9815,https://www.shmonenyc.com,Mo-Sa 18:00-12:00,West 8th Steet,61,,restaurant,,,restaurant
Grimaldi's Pizzeria,40.7025856,-73.993235,pizza,+1-718-858-4300,https://www.grimaldispizzeria.com/locations/1-front-street-brooklyn/,Mo-Th 11:30-21:00; Fr-Sa 11:30-22:00; Su 11:30-21:00,Front Street,1,Brooklyn,restaurant,Grimaldi's Pizzeria,,restaurant
Bar Birba,40.6874732,-73.9570883,"italian, pizza",+1-718-230-3933,https://www.barbirba.com,"Tu-Sa 17:00-24:00, Su 14:00-22:00",,,,restaurant,,,restaurant
Chu Ros Thai,40.7892539,-73.9486313,thai,+1-917-265-8432,https://churosthainyc.com/,Mo-Su 11:00-22:00,Lexington Avenue,1590,,restaurant,,,restaurant
Burritos y Mas,40.7887862,-73.948637,,+1-646-918-4748,https://burritosymasnyc.com,Mo-Su 11:00-22:00,Lexington Avenue,1571,,restaurant,,,restaurant
Quechua Nostra,40.7905956,-73.9476505,peruvian,+1 212-410-0707,,Mo-Sa 10:30-22:00,Lexington Avenue,1634,,restaurant,,,restaurant
El Aguila,40.7905186,-73.9477162,mexican,+1 212-426-2221,http://elaguilanewyorkrestaurant.com,24/7,Lexington Avenue,1634,,restaurant,,,restaurant
The Lexington Social,40.7906645,-73.9476244,"mediterranean, tapas",+1 646-820-7013,http://tlstapasbar.com,"Mo-Fr 12:00-23:00; Sa, Su 11:00-23:00",Lexington Avenue,1634,,restaurant,,,restaurant
Caribbean Fiesta,40.7927227,-73.9503373,,,,,,,,restaurant,,,restaurant
Bawarchi Indian Cuisine,40.7927565,-73.9503189,,+1 212-289-7700,http://bawarchis.com,11:00-22:00,Madison Avenue,1546,,restaurant,,,restaurant
The Lambs Club,40.756616,-73.9845926,,,https://www.thechatwalny.com/The-Lambs-Club/The-Lambs-Club-Restaurant,,,,,restaurant,,,restaurant
The Playwright,40.7604723,-73.9840506,,(212) 262 9263,https://www.playwrighttavern.com/,,West 49th Street,202,New York,restaurant,,,restaurant
Skinny's Cantina,40.7456176,-73.9567972,mexican,,https://www.skinnyscantina.com/,,Center Boulevard,4705,Long Island City,restaurant,,,restaurant
Inga's Bar,40.6999588,-73.9937373,american,+1-917-909-1177,,"Mo-Fr 17:00-22:00; Sa-Su 11:00-15:00,17:00-22:00",Hicks Street,66,Brooklyn,restaurant,,,restaurant
Jules,40.6995169,-73.9921607,pizza,,,,Henry Street,50,Brooklyn,restaurant,,,restaurant
Hunan Park,40.7921936,-73.9676915,chinese,+1-212-222-6511,,11:00-22:30,Columbus Avenue,721,New York,restaurant,,,restaurant
City Diner,40.7910471,-73.9747641,diner,+1-212-877-2720,https://citydinernyc.net,Mo-Su 05:30-04:00,Broadway,2441,,restaurant,,,restaurant
5 Napkin Burger,40.7870645,-73.9779334,burger,+1-212-333-4488,https://www.5napkinburger.com/location/upper-west-side-5napkinburger/,Mo-Th 11:30-22:00; Fr 11:30-23:00; Sa 10:00-23:00; Su 10:00-22:00,Broadway,2315,New York,restaurant,,,restaurant
Ayza Wine & Chocolate Bar,40.7297052,-74.0048523,,,http://www.ayzanyc.com/west-village/,Mo-Fr 11:30-15:00; Mo-We 17:00-24:00; Th-Sa 17:00-01:00; Su 17:00-23:00; Sa-Su 11:00-15:30,7th Avenue South,1,New York,restaurant,,,restaurant
Trattoria Spaghetto,40.730184,-74.0025384,italian,,,Su-Th 12:00-24:00; Fr-Sa 12:00-00:30,Bleecker Street,232,New York,restaurant,,,restaurant
Kesari,40.7993268,-73.9687523,indian,,,,Broadway,2701,New York,restaurant,,,restaurant
Manhattan Valley,40.7970144,-73.969726,indian,+1-212-222-9222,https://www.manhattanvalleyny.com/,Mo-Su 11:15-22:15,Broadway,2636,New York,restaurant,,,restaurant
Metro Diner,40.7974417,-73.9701456,diner,+1-212-866-0800,https://www.metrodiner.nyc,Mo-Su 8:30-21:30,Broadway,2641,New York,restaurant,,,restaurant
Just Pho You,40.7975736,-73.9693077,vietnamese,+1-646+822+5178,https://justphoyounyc.com,,Broadway,2656,New York,restaurant,,,restaurant
Texas Rotisserie Grill,40.7955308,-73.9714792,,+1 212 665 9800,,,Broadway,2581,New York,restaurant,,,restaurant
Neptune Diner II,40.6764339,-73.959241,diner,+1-718-623-1111,,24/7,Classon Avenue,699,Brooklyn,restaurant,,,restaurant
El Castillo De Jagua,40.714385,-73.9818347,caribbean,,,,,,,restaurant,,,restaurant
Zafis Luncheonette,40.7149321,-73.9826973,coffee_shop,,,,,,,restaurant,,,restaurant
Malecon Restaurant,40.7950365,-73.9699063,dominican,,,,Amsterdam Avenue,764,New York,restaurant,,,restaurant
Ozen,40.7949162,-73.9699934,asian,+1 212 678 0300,http://www.ozencuisine.com/,Mo-Su 11:00-24:00,Amsterdam Avenue,760,New York,restaurant,,,restaurant
Vin et Fleur,40.7242486,-74.0033107,french,,,,,,,restaurant,,,restaurant
Pizza Palace,40.8624129,-73.925052,pizza,,,"PH,Mo-Su 10:00-23:00+",,,,restaurant,,,restaurant
5 Napkin Burger,40.7601614,-73.9911074,burger,+1-212-757-2277,https://www.5napkinburger.com/location/hell-s-kitchen-5napkinburger/,Su-Tu 10:00-22:30; We-Sa 10:00-23:30,9th Avenue,630,New York,restaurant,,,restaurant
Gallo Nero,40.7598902,-73.9917945,italian,,,,9th Avenue,623,New York,restaurant,,,restaurant
Ollie's,40.7588415,-73.993163,chinese,,,,,,,restaurant,,,restaurant
Maison Close,40.7232955,-74.0037222,,,,,Watts Street,15,,restaurant,,,restaurant
Laut,40.7375482,-73.991104,thai,+1 (212) 206 8989,https://www.lautnyc.com/,Mo-Fr 11:30-22:30; Sa 14:00-22:30; Su 13:00-22:00,East 17th Street,15,New York,restaurant,,,restaurant
Vanessa's Dumpling House,40.7182938,-73.9917781,"chinese, dumpling, noodle",+1-212-625-8008,https://vanessas.com/,Mo-Sa 07:30-22:30; Su 07:30-22:00,Eldridge Street,118A,New York,restaurant,,,restaurant
Rockaway Taco,40.5850967,-73.8177835,,,,,96th Street,,,restaurant,,,restaurant
Pasquale Jones,40.7210814,-73.9967486,italian,,https://www.pasqualejones.com/,"Mo-Fr 17:00-22:00; Sa,Su 12:00-15:30,17:00-22:00",,,,restaurant,,,restaurant
Cariño,40.712472,-73.9647679,mexican,,https://carinonyc.com/,,South 4th Street,82,Brooklyn,restaurant,,,restaurant
Miss Favela,40.7121797,-73.9662152,brazilian,,https://www.missfavela.com/,,South 5th Street,57,Brooklyn,restaurant,,,restaurant
South Port,40.7124975,-73.9642787,,,,,South 4th Street,91,,restaurant,,,restaurant
Bosino,40.7987385,-73.9673316,italian,+16467558770,https://bosinonyc.com,,West 103rd Street,201,New York,restaurant,,,restaurant
Katz's Delicatessen,40.7223431,-73.987353,deli,+1-212-254-2246,https://www.katzsdelicatessen.com,Mo-Th 08:00-22:15; Fr 08:00-24:00; Sa 00:00-24:00; Su 00:00-22:15,East Houston Street,205,New York,restaurant,,,restaurant
Mercato,40.7562465,-73.9936447,italian,+1-212-643-2000,https://mercatonyc.com/,Mo-Su 11:30-00:00,West 39th Street,352,New York,restaurant,,,restaurant
Cactus Mexican Restaurant,40.7006444,-73.9438427,mexican,,,,,,,restaurant,,,restaurant
Barboncino,40.6720806,-73.9572943,pizza,,,,,,,restaurant,,,restaurant
Blue Smoke,40.7146177,-74.015376,american,+1-212-889-2005,https://www.bluesmoke.com/location/battery-park-city/,"Th-Sa 11:00-22:00; Mo-We, Su 11:00-21:00",Vesey Street,255,,restaurant,,,restaurant
Banc,40.7432296,-73.9797061,american,+1-212-252-0146,,Mo-Tu 11:00-00:30; We-Sa 11:00-02:00; Su 11:00-00:30,3rd Avenue,431,,restaurant,,,restaurant
The Bayhouse,40.5646922,-73.911575,fish,,,,,,,restaurant,,,restaurant
